FileName,Habitat,Type,Season,Moment
01_KE-US/KE-US_20200101_000000_MN_1,1,Close,Wet,MN
01_KE-US/KE-US_20200101_000000_MN_2,1,Close,Wet,MN
01_KE-US/KE-US_20200101_000000_MN_3,1,Close,Wet,MN
01_KE-US/KE-US_20200101_000000_MN_4,1,Close,Wet,MN
01_KE-US/KE-US_20200101_010000_MN_1,1,Close,Wet,MN
01_KE-US/KE-US_20200101_010000_MN_2,1,Close,Wet,MN
01_KE-US/KE-US_20200101_010000_MN_3,1,Close,Wet,MN
01_KE-US/KE-US_20200101_010000_MN_4,1,Close,Wet,MN
01_KE-US/KE-US_20200101_090000_SR_1,1,Close,Wet,SR
01_KE-US/KE-US_20200101_090000_SR_2,1,Close,Wet,SR
01_KE-US/KE-US_20200101_090000_SR_3,1,Close,Wet,SR
01_KE-US/KE-US_20200101_090000_SR_4,1,Close,Wet,SR
01_KE-US/KE-US_20200101_100000_SR_1,1,Close,Wet,SR
01_KE-US/KE-US_20200101_100000_SR_2,1,Close,Wet,SR
01_KE-US/KE-US_20200101_100000_SR_3,1,Close,Wet,SR
01_KE-US/KE-US_20200101_100000_SR_4,1,Close,Wet,SR
01_KE-US/KE-US_20200101_120000_MD_1,1,Close,Wet,MD
01_KE-US/KE-US_20200101_120000_MD_2,1,Close,Wet,MD
01_KE-US/KE-US_20200101_120000_MD_3,1,Close,Wet,MD
01_KE-US/KE-US_20200101_120000_MD_4,1,Close,Wet,MD
01_KE-US/KE-US_20200101_130000_MD_1,1,Close,Wet,MD
01_KE-US/KE-US_20200101_130000_MD_2,1,Close,Wet,MD
01_KE-US/KE-US_20200101_130000_MD_3,1,Close,Wet,MD
01_KE-US/KE-US_20200101_130000_MD_4,1,Close,Wet,MD
01_KE-US/KE-US_20200101_150000_SS_1,1,Close,Wet,SS
01_KE-US/KE-US_20200101_150000_SS_2,1,Close,Wet,SS
01_KE-US/KE-US_20200101_150000_SS_3,1,Close,Wet,SS
01_KE-US/KE-US_20200101_150000_SS_4,1,Close,Wet,SS
01_KE-US/KE-US_20200101_160000_SS_1,1,Close,Wet,SS
01_KE-US/KE-US_20200101_160000_SS_2,1,Close,Wet,SS
01_KE-US/KE-US_20200101_160000_SS_3,1,Close,Wet,SS
01_KE-US/KE-US_20200101_160000_SS_4,1,Close,Wet,SS
01_KE-US/KE-US_20200104_000000_MN_1,1,Close,Wet,MN
01_KE-US/KE-US_20200104_000000_MN_2,1,Close,Wet,MN
01_KE-US/KE-US_20200104_000000_MN_3,1,Close,Wet,MN
01_KE-US/KE-US_20200104_000000_MN_4,1,Close,Wet,MN
01_KE-US/KE-US_20200104_010000_MN_1,1,Close,Wet,MN
01_KE-US/KE-US_20200104_010000_MN_2,1,Close,Wet,MN
01_KE-US/KE-US_20200104_010000_MN_3,1,Close,Wet,MN
01_KE-US/KE-US_20200104_010000_MN_4,1,Close,Wet,MN
01_KE-US/KE-US_20200104_090000_SR_1,1,Close,Wet,SR
01_KE-US/KE-US_20200104_090000_SR_2,1,Close,Wet,SR
01_KE-US/KE-US_20200104_090000_SR_3,1,Close,Wet,SR
01_KE-US/KE-US_20200104_090000_SR_4,1,Close,Wet,SR
01_KE-US/KE-US_20200104_100000_SR_1,1,Close,Wet,SR
01_KE-US/KE-US_20200104_100000_SR_2,1,Close,Wet,SR
01_KE-US/KE-US_20200104_100000_SR_3,1,Close,Wet,SR
01_KE-US/KE-US_20200104_100000_SR_4,1,Close,Wet,SR
01_KE-US/KE-US_20200104_120000_MD_1,1,Close,Wet,MD
01_KE-US/KE-US_20200104_120000_MD_2,1,Close,Wet,MD
01_KE-US/KE-US_20200104_120000_MD_3,1,Close,Wet,MD
01_KE-US/KE-US_20200104_120000_MD_4,1,Close,Wet,MD
01_KE-US/KE-US_20200104_130000_MD_1,1,Close,Wet,MD
01_KE-US/KE-US_20200104_130000_MD_2,1,Close,Wet,MD
01_KE-US/KE-US_20200104_130000_MD_3,1,Close,Wet,MD
01_KE-US/KE-US_20200104_130000_MD_4,1,Close,Wet,MD
01_KE-US/KE-US_20200104_150000_SS_1,1,Close,Wet,SS
01_KE-US/KE-US_20200104_150000_SS_2,1,Close,Wet,SS
01_KE-US/KE-US_20200104_150000_SS_3,1,Close,Wet,SS
01_KE-US/KE-US_20200104_150000_SS_4,1,Close,Wet,SS
01_KE-US/KE-US_20200104_160000_SS_1,1,Close,Wet,SS
01_KE-US/KE-US_20200104_160000_SS_2,1,Close,Wet,SS
01_KE-US/KE-US_20200104_160000_SS_3,1,Close,Wet,SS
01_KE-US/KE-US_20200104_160000_SS_4,1,Close,Wet,SS
01_KE-US/KE-US_20200107_000000_MN_1,1,Close,Wet,MN
01_KE-US/KE-US_20200107_000000_MN_2,1,Close,Wet,MN
01_KE-US/KE-US_20200107_000000_MN_3,1,Close,Wet,MN
01_KE-US/KE-US_20200107_000000_MN_4,1,Close,Wet,MN
01_KE-US/KE-US_20200107_010000_MN_1,1,Close,Wet,MN
01_KE-US/KE-US_20200107_010000_MN_2,1,Close,Wet,MN
01_KE-US/KE-US_20200107_010000_MN_3,1,Close,Wet,MN
01_KE-US/KE-US_20200107_010000_MN_4,1,Close,Wet,MN
01_KE-US/KE-US_20200107_090000_SR_1,1,Close,Wet,SR
01_KE-US/KE-US_20200107_090000_SR_2,1,Close,Wet,SR
01_KE-US/KE-US_20200107_090000_SR_3,1,Close,Wet,SR
01_KE-US/KE-US_20200107_090000_SR_4,1,Close,Wet,SR
01_KE-US/KE-US_20200107_100000_SR_1,1,Close,Wet,SR
01_KE-US/KE-US_20200107_100000_SR_2,1,Close,Wet,SR
01_KE-US/KE-US_20200107_100000_SR_3,1,Close,Wet,SR
01_KE-US/KE-US_20200107_100000_SR_4,1,Close,Wet,SR
01_KE-US/KE-US_20200107_120000_MD_1,1,Close,Wet,MD
01_KE-US/KE-US_20200107_120000_MD_2,1,Close,Wet,MD
01_KE-US/KE-US_20200107_120000_MD_3,1,Close,Wet,MD
01_KE-US/KE-US_20200107_120000_MD_4,1,Close,Wet,MD
01_KE-US/KE-US_20200107_130000_MD_1,1,Close,Wet,MD
01_KE-US/KE-US_20200107_130000_MD_2,1,Close,Wet,MD
01_KE-US/KE-US_20200107_130000_MD_3,1,Close,Wet,MD
01_KE-US/KE-US_20200107_130000_MD_4,1,Close,Wet,MD
01_KE-US/KE-US_20200107_150000_SS_1,1,Close,Wet,SS
01_KE-US/KE-US_20200107_150000_SS_2,1,Close,Wet,SS
01_KE-US/KE-US_20200107_150000_SS_3,1,Close,Wet,SS
01_KE-US/KE-US_20200107_150000_SS_4,1,Close,Wet,SS
01_KE-US/KE-US_20200107_160000_SS_1,1,Close,Wet,SS
01_KE-US/KE-US_20200107_160000_SS_2,1,Close,Wet,SS
01_KE-US/KE-US_20200107_160000_SS_3,1,Close,Wet,SS
01_KE-US/KE-US_20200107_160000_SS_4,1,Close,Wet,SS
01_KE-US/KE-US_20200110_000000_MN_1,1,Close,Wet,MN
01_KE-US/KE-US_20200110_000000_MN_2,1,Close,Wet,MN
01_KE-US/KE-US_20200110_000000_MN_3,1,Close,Wet,MN
01_KE-US/KE-US_20200110_000000_MN_4,1,Close,Wet,MN
01_KE-US/KE-US_20200110_010000_MN_1,1,Close,Wet,MN
01_KE-US/KE-US_20200110_010000_MN_2,1,Close,Wet,MN
01_KE-US/KE-US_20200110_010000_MN_3,1,Close,Wet,MN
01_KE-US/KE-US_20200110_010000_MN_4,1,Close,Wet,MN
01_KE-US/KE-US_20200110_090000_SR_1,1,Close,Wet,SR
01_KE-US/KE-US_20200110_090000_SR_2,1,Close,Wet,SR
01_KE-US/KE-US_20200110_090000_SR_3,1,Close,Wet,SR
01_KE-US/KE-US_20200110_090000_SR_4,1,Close,Wet,SR
01_KE-US/KE-US_20200110_100000_SR_1,1,Close,Wet,SR
01_KE-US/KE-US_20200110_100000_SR_2,1,Close,Wet,SR
01_KE-US/KE-US_20200110_100000_SR_3,1,Close,Wet,SR
01_KE-US/KE-US_20200110_100000_SR_4,1,Close,Wet,SR
01_KE-US/KE-US_20200110_120000_MD_1,1,Close,Wet,MD
01_KE-US/KE-US_20200110_120000_MD_2,1,Close,Wet,MD
01_KE-US/KE-US_20200110_120000_MD_3,1,Close,Wet,MD
01_KE-US/KE-US_20200110_120000_MD_4,1,Close,Wet,MD
01_KE-US/KE-US_20200110_130000_MD_1,1,Close,Wet,MD
01_KE-US/KE-US_20200110_130000_MD_2,1,Close,Wet,MD
01_KE-US/KE-US_20200110_130000_MD_3,1,Close,Wet,MD
01_KE-US/KE-US_20200110_130000_MD_4,1,Close,Wet,MD
01_KE-US/KE-US_20200110_150000_SS_1,1,Close,Wet,SS
01_KE-US/KE-US_20200110_150000_SS_2,1,Close,Wet,SS
01_KE-US/KE-US_20200110_150000_SS_3,1,Close,Wet,SS
01_KE-US/KE-US_20200110_150000_SS_4,1,Close,Wet,SS
01_KE-US/KE-US_20200110_160000_SS_1,1,Close,Wet,SS
01_KE-US/KE-US_20200110_160000_SS_2,1,Close,Wet,SS
01_KE-US/KE-US_20200110_160000_SS_3,1,Close,Wet,SS
01_KE-US/KE-US_20200110_160000_SS_4,1,Close,Wet,SS
01_KE-US/KE-US_20200113_000000_MN_1,1,Close,Wet,MN
01_KE-US/KE-US_20200113_000000_MN_2,1,Close,Wet,MN
01_KE-US/KE-US_20200113_000000_MN_3,1,Close,Wet,MN
01_KE-US/KE-US_20200113_000000_MN_4,1,Close,Wet,MN
01_KE-US/KE-US_20200113_010000_MN_1,1,Close,Wet,MN
01_KE-US/KE-US_20200113_010000_MN_2,1,Close,Wet,MN
01_KE-US/KE-US_20200113_010000_MN_3,1,Close,Wet,MN
01_KE-US/KE-US_20200113_010000_MN_4,1,Close,Wet,MN
01_KE-US/KE-US_20200113_090000_SR_1,1,Close,Wet,SR
01_KE-US/KE-US_20200113_090000_SR_2,1,Close,Wet,SR
01_KE-US/KE-US_20200113_090000_SR_3,1,Close,Wet,SR
01_KE-US/KE-US_20200113_090000_SR_4,1,Close,Wet,SR
01_KE-US/KE-US_20200113_100000_SR_1,1,Close,Wet,SR
01_KE-US/KE-US_20200113_100000_SR_2,1,Close,Wet,SR
